Date,Quantite,Quantite_capped
2025-03-16,10,10.0
2025-03-17,770,770.0
2025-03-18,665,665.0
2025-03-19,289,289.0
2025-03-20,598,598.0
2025-03-21,180,180.0
2025-03-22,68,68.0
2025-03-23,6,6.0
2025-03-24,272,272.0
2025-03-25,884,884.0
2025-03-26,403,403.0
2025-03-27,485,485.0
2025-03-28,915,915.0
2025-03-29,109,109.0
2025-03-30,5,5.0
2025-03-31,304,304.0
2025-04-01,221,221.0
2025-04-02,86,86.0
2025-04-03,679,679.0
2025-04-04,373,373.0
2025-04-05,87,87.0
2025-04-06,6,6.0
2025-04-07,414,414.0
2025-04-08,144,144.0
2025-04-09,205,205.0
2025-04-10,136,136.0
2025-04-11,82,82.0
2025-04-12,59,59.0
2025-04-14,276,276.0
2025-04-15,219,219.0
2025-04-16,398,398.0
2025-04-17,145,145.0
2025-04-18,61,61.0
2025-04-19,33,33.0
2025-04-20,4,4.0
2025-04-21,22,22.0
2025-04-22,24,24.0
2025-04-23,189,189.0
2025-04-24,105,105.0
2025-04-25,118,118.0
2025-04-26,35,35.0
2025-04-27,9,9.0
2025-04-28,59,59.0
2025-04-29,89,89.0
2025-04-30,257,257.0
2025-05-02,40,40.0
2025-05-03,6,6.0
2025-05-04,2,2.0
2025-05-05,28,28.0
2025-05-06,15,15.0
2025-05-07,29,29.0
2025-05-08,6,6.0
2025-05-09,3,3.0
2025-05-10,3,3.0
